date,close
2022-02-03,7.29
2022-02-04,7.52
2022-02-07,7.41
2022-02-08,7.37
2022-02-09,7.59
2022-02-10,7.52
2022-02-11,7.28
2022-02-14,7.22
2022-02-15,7.46
2022-02-16,7.24
2022-02-17,6.16
2022-02-18,6.77
2022-02-22,6.78
2022-02-23,6.66
2022-02-24,6.58
2022-02-25,6.55
2022-02-28,6.29
2022-03-01,5.96
2022-03-02,5.92
2022-03-03,5.66
2022-03-04,5.28
2022-03-07,5.57
2022-03-08,5.85
2022-03-09,5.92
2022-03-10,5.42
2022-03-11,5.19
2022-03-14,5.16
2022-03-15,5.14
2022-03-16,5.37
2022-03-17,6.06
2022-03-18,5.78
2022-03-21,5.78
2022-03-22,5.98
2022-03-23,6.25
2022-03-24,6.36
2022-03-25,6.32
2022-03-28,6.18
2022-03-29,6.13
2022-03-30,6.06
2022-03-31,6.23
2022-04-01,6.21
2022-04-04,6.14
2022-04-05,5.87
2022-04-06,5.78
2022-04-07,6.18
2022-04-08,6.08
2022-04-11,6.53
2022-04-12,6.85
2022-04-13,7.34
2022-04-14,7.13
2022-04-18,7.06
2022-04-19,7.28
2022-04-20,7.49
2022-04-21,7.26
2022-04-22,7.03
2022-04-25,7.15
2022-04-26,7.04
2022-04-27,6.97
2022-04-28,7.14
2022-04-29,6.37
2022-05-02,6.18
2022-05-03,6.52
2022-05-04,6.58
2022-05-05,6.23
2022-05-06,6.24
2022-05-09,6.20
2022-05-10,5.90
2022-05-11,6.09
2022-05-12,6.65
2022-05-13,7.19
2022-05-16,6.91
2022-05-17,7.47
2022-05-18,6.97
2022-05-19,7.25
2022-05-20,7.25
2022-05-23,7.51
2022-05-24,7.08
2022-05-25,7.11
2022-05-26,7.21
2022-05-27,7.56
2022-05-31,7.29
2022-06-01,6.97
2022-06-02,7.15
2022-06-03,7.14
2022-06-06,7.15
2022-06-07,7.52
2022-06-08,7.58
2022-06-09,7.80
2022-06-10,8.10
2022-06-13,7.45
2022-06-14,7.66
2022-06-15,7.73
2022-06-16,7.50
2022-06-17,7.60
2022-06-21,8.87
2022-06-22,6.92
2022-06-23,7.89
2022-06-24,7.93
2022-06-27,8.02
2022-06-28,8.02
2022-06-29,7.92
2022-06-30,7.98
2022-07-01,8.07
2022-07-05,8.50
2022-07-06,8.44
2022-07-07,8.43
2022-07-08,7.84
2022-07-11,7.37
2022-07-12,7.54
2022-07-13,7.19
2022-07-14,7.36
2022-07-15,7.62
2022-07-18,7.67
2022-07-19,7.61
2022-07-20,7.63
2022-07-21,7.62
2022-07-22,7.60
2022-07-25,7.74
2022-07-26,7.65
2022-07-27,7.57
2022-07-28,7.80
2022-07-29,8.58
2022-08-01,8.68
2022-08-02,8.44
2022-08-03,8.40
2022-08-04,8.65
2022-08-05,9.34
2022-08-08,9.73
2022-08-09,9.43
2022-08-10,9.55
2022-08-11,9.83
2022-08-12,9.83
2022-08-15,9.91
2022-08-16,9.60
2022-08-17,9.20
2022-08-18,9.32
2022-08-19,9.28
2022-08-22,9.14
2022-08-23,9.21
2022-08-24,9.10
2022-08-25,9.33
2022-08-26,9.24
2022-08-29,9.06
2022-08-30,8.77
2022-08-31,8.94
2022-09-01,9.08
2022-09-02,8.73
2022-09-06,8.78
2022-09-07,9.17
2022-09-08,9.30
2022-09-09,9.42
2022-09-12,9.29
2022-09-13,9.04
2022-09-14,9.24
2022-09-15,9.33
2022-09-16,9.48
2022-09-19,9.39
2022-09-20,9.29
2022-09-21,9.13
2022-09-22,8.78
2022-09-23,8.39
2022-09-26,8.66
2022-09-27,9.02
2022-09-28,9.59
2022-09-29,9.37
2022-09-30,9.07
2022-10-03,9.61
2022-10-04,9.73
2022-10-05,9.51
2022-10-06,9.30
2022-10-07,8.80
2022-10-10,8.71
2022-10-11,8.97
2022-10-12,8.74
2022-10-13,9.13
2022-10-14,8.73
2022-10-17,9.12
2022-10-18,9.02
2022-10-19,8.88
2022-10-20,8.79
2022-10-21,9.00
2022-10-24,9.01
2022-10-25,9.04
2022-10-26,9.15
2022-10-27,9.21
2022-10-28,10.52
2022-10-31,11.40
2022-11-01,12.27
2022-11-02,12.56
2022-11-03,12.08
2022-11-04,12.77
2022-11-07,13.24
2022-11-08,13.05
2022-11-09,12.86
2022-11-10,13.40
2022-11-11,13.00
2022-11-14,13.18
2022-11-15,13.54
2022-11-16,13.41
2022-11-17,13.80
2022-11-18,13.85
2022-11-21,13.55
2022-11-22,13.73
2022-11-23,13.84
2022-11-25,13.53
2022-11-28,13.51
2022-11-29,13.49
2022-11-30,13.72
2022-12-01,13.65
2022-12-02,13.80
2022-12-05,13.60
2022-12-06,13.65
2022-12-07,13.96
2022-12-08,14.15
2022-12-09,13.34
2022-12-12,13.74
2022-12-13,13.65
2022-12-14,14.28
2022-12-15,13.87
2022-12-16,13.32
2022-12-19,13.58
2022-12-20,13.56
2022-12-21,13.75
2022-12-22,13.60
2022-12-23,13.81
2022-12-27,13.76
2022-12-28,13.88
2022-12-29,13.87
2022-12-30,13.91
2023-01-03,13.88
2023-01-04,14.11
2023-01-05,14.14
2023-01-06,15.65
2023-01-09,15.65
2023-01-10,16.54
2023-01-11,16.30
2023-01-12,16.62
2023-01-13,16.80
2023-01-17,16.74
2023-01-18,15.21
2023-01-19,15.21
2023-01-20,15.41
2023-01-23,15.21
2023-01-24,15.73
2023-01-25,15.77
2023-01-26,15.30
2023-01-27,15.35
2023-01-30,14.18
2023-01-31,14.13
2023-02-01,14.23
2023-02-02,14.21
2023-02-03,13.64
2023-02-06,12.95
2023-02-07,12.86
2023-02-08,12.64
2023-02-09,12.58
2023-02-10,12.59
2023-02-13,12.75
2023-02-14,12.70
2023-02-15,12.97
2023-02-16,12.89
2023-02-17,13.05
2023-02-21,12.61
2023-02-22,12.54
2023-02-23,12.63
2023-02-24,12.82
2023-02-27,12.83
2023-02-28,12.92
2023-03-01,12.85
2023-03-02,12.61
2023-03-03,12.69
2023-03-06,12.41
2023-03-07,9.76
2023-03-08,9.66
